Run log: C:\Users\Lab-AXIS\Desktop\Haseung Ryu\Context-aware Cyber Foresight with Multi-agent Critique and Strategic Uncertainty\Multi-Agent\Results\Stage2\logs\stage1-main-cases-v1__2026-09-14_01-49-42.log
--- Stage 0 -> Stage 1 -> Stage 2 Main Case Set: batch execution ---
Stage 1/2 shared runtime profile: Qwen3.8-27B-Q6_K_L via llama.cpp at http://127.0.0.1:8080 (thinking=xhigh, temp=1.0, top_p=0.95, top_k=20, seed=42)
Case-set manifest: C:\Users\Lab-AXIS\Desktop\Haseung Ryu\Context-aware Cyber Foresight with Multi-agent Critique and Strategic Uncertainty\Multi-Agent\Results\Stage1\case_sets\stage1-main-cases-v1.json
Progress/resume state: C:\Users\Lab-AXIS\Desktop\Haseung Ryu\Context-aware Cyber Foresight with Multi-agent Critique and Strategic Uncertainty\Multi-Agent\Results\Stage2\runs\stage1-main-cases-v1__seed-42__progress.json
Resume is automatic: exact Stage 1/2 artifacts are reused; interrupted Stage 1 critics and Stage 2 debate steps resume only from exact-fingerprint checkpoints.

====================================================================================================
[MAIN SET][1/7] main__ddos__nlp_llm
Threat=DDoS | PMT=NLP/LLM
Selection=predeclared_anchor | Regime=anchor
Reason=Predeclared reference case retained regardless of evidence coverage. It intentionally stress-tests the strict ex-ante evidence boundary and the PARTIAL/INSUFFICIENT_EVIDENCE path instead of dropping a difficult case post hoc.
====================================================================================================
Stage 0 EvidencePack loaded: main__ddos__nlp_llm (7 evidence records)

Stage 1 frozen artifact reused: C:\Users\Lab-AXIS\Desktop\Haseung Ryu\Context-aware Cyber Foresight with Multi-agent Critique and Strategic Uncertainty\Multi-Agent\Results\Stage1\artifacts\main__ddos__nlp_llm\8eab7e04105e00e2d439f71acfb2ac39146dbc21c6e348ff4badc56fe51251d8.json

Stage 2 artifact not found for fingerprint f6895d4aed0c040921ce8190d1e2ede959bcbc8e9deb4949da40dddd5b1a0fde; structured debate will run/resume from exact step checkpoints.

--- Stage 2: Evidence-grounded Structured Debate ---

[QWEN][Stage2-R1-AttackResponse] generation started (reasoning=xhigh, seed=42).
[QWEN][Stage2-R1-AttackResponse][+10s] state=True input_tokens=11035 generated_tokens=139 context_tokens=11178 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+20s] state=True input_tokens=11035 generated_tokens=534 context_tokens=11573 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+30s] state=True input_tokens=11035 generated_tokens=971 context_tokens=12010 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+40s] state=True input_tokens=11035 generated_tokens=1416 context_tokens=12455 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+50s] state=True input_tokens=11035 generated_tokens=1827 context_tokens=12866 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+60s] state=True input_tokens=11035 generated_tokens=2213 context_tokens=13252 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+70s] state=True input_tokens=11035 generated_tokens=2574 context_tokens=13608 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+80s] state=True input_tokens=11035 generated_tokens=2917 context_tokens=13956 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+90s] state=True input_tokens=11035 generated_tokens=3353 context_tokens=14387 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+100s] state=True input_tokens=11035 generated_tokens=3737 context_tokens=14776 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+110s] state=True input_tokens=11035 generated_tokens=4128 context_tokens=15167 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+120s] state=True input_tokens=11035 generated_tokens=4445 context_tokens=15484 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+130s] state=True input_tokens=11035 generated_tokens=4863 context_tokens=15897 remaining=-1 task=1
[QWEN][Stage2-R1-AttackResponse][+140s] state=True input_tokens=11035 generated_tokens=5298 context_tokens=16332 remaining=-1 task=1
